src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.3.6,192.168.3.66,1514,52056,6,2022-11-25 11:36:03,120590817.0,61.16551975926989,0.32340771022390535,0.11609507546499166,0.20731263475891368,14,25,1992,5384,155.0,66.0,142.28571428571428,31.14351244395755,368.0,66.0,215.36,148.1671704528368,368,66,189.12820512820514,125.09876702894816,15649.701512163048,280,500,20,12,3173442.552631579,10018093.0,28.0,4517847.369949477,110571885.0,10019308.0,375.0,8505529.615384616,3014490.742524401,120590055.0,10018093.0,1036.0,5024585.625,4799779.941731807,0,0,0,0,1,0,0,0,0,0,0,1.7857142857142858,189.12820512820514,501,2045,10017223.0,762.0,8496998.0,3022842.024193025,10017254.0,4393943.0,9267503.307692308,1777295.7906065471,0.0,0.0,0.0,0.0,0.0,0.0,142.28571428571428,215.36,0,14,25,1992,5384
192.168.3.6,192.168.3.66,1514,52056,6,2022-11-25 11:38:03,129325294.00000001,88.5750934384112,0.4020868493057514,0.16238122760424575,0.23970562170150564,21,31,2543,8912,155.0,66.0,121.0952380952381,43.22026063902456,1514.0,66.0,287.48387096774195,320.36228191742265,1514,66,220.28846153846155,261.92397139235044,68604.16678994082,420,620,20,13,2535790.0784313725,10017628.0,7.0,4172359.1592262536,119310153.0,10019244.0,315.0,5965507.65,4499624.009070816,129324084.0,10017628.0,615.0,4310802.8,4688135.712537635,0,0,0,0,1,0,0,0,0,0,0,1.4761904761904763,220.28846153846155,501,2045,10016566.0,1210.0,7443531.3125,3777217.4536663345,10016779.0,41666.0,8069284.625,3285403.129126068,0.0,0.0,0.0,0.0,0.0,0.0,121.0952380952381,287.48387096774195,0,21,31,2543,8912
192.168.3.6,192.168.3.66,1514,52056,6,2022-11-25 11:40:12,120394872.0,63.82331632862237,0.34885206738705615,0.1328960256712595,0.21595604171579666,16,26,2124,5560,155.0,66.0,132.75,38.53813046840752,368.0,66.0,213.84615384615384,145.48689930650966,368,66,182.95238095238096,123.3683899432436,15219.75963718821,320,520,20,12,2936460.2926829266,10017915.0,22.0,4414511.177696797,110380673.0,10019638.0,393.0,7358711.533333333,4004496.9812397137,120393985.0,10017915.0,1016.9999999999999,4815759.4,4792307.988805903,0,0,0,0,1,0,0,0,0,0,0,1.625,182.95238095238096,501,2045,10017032.0,887.0,7870715.214285715,3630681.816473323,10017171.0,1293241.0,8585807.785714285,2914602.3119835304,0.0,0.0,0.0,0.0,0.0,0.0,132.75,213.84615384615384,0,16,26,2124,5560
192.168.3.6,192.168.3.66,1514,52056,6,2022-11-25 11:42:13,120254811.0,64.01407092145361,0.3409427004130421,0.12473513429745442,0.21620756611558767,15,26,2058,5640,155.0,66.0,137.2,35.6,368.0,66.0,216.92307692307693,145.49991358097435,368,66,187.7560975609756,123.94860864394957,15363.25758477097,300,520,20,12,3006370.275,10014637.0,17.0,4372527.886798505,117287315.0,10016102.0,313.0,8377665.357142857,3122656.6979765026,120254097.0,10014637.0,1011.0,4810163.88,4683003.020427403,0,0,0,0,1,0,0,0,0,0,0,1.7333333333333334,187.7560975609756,501,2045,10013898.0,714.0,8363994.785714285,3123184.1157903527,10013756.0,1916905.0,8575856.785714285,2619328.596904372,0.0,0.0,0.0,0.0,0.0,0.0,137.2,216.92307692307693,0,15,26,2058,5640
192.168.3.36,192.168.3.66,52754,80,6,2022-11-25 11:42:21,5199.0,313714.17580303905,1923.4468166955185,1154.068090017311,769.3787266782074,6,4,500,1131,162.0,66.0,83.33333333333333,35.30187278632994,925.0,66.0,282.75,370.81759329891565,925,66,163.1,255.52708271335936,65294.090000000004,120,80,20,1,577.6666666666666,2304.0,1.0,660.0222218481233,5199.0,3085.0,1.0,1039.8,1060.9760411998002,4316.0,2304.0,779.0,1438.6666666666667,639.3383732856612,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,163.1,64240,509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333333333333,282.75,0,6,4,500,1131
192.168.3.6,192.168.3.66,1514,52056,6,2022-11-25 11:44:13,120094019.0,91.71147815446163,0.4246672767275779,0.1748629962995909,0.249804280427987,21,30,2454,8560,155.0,66.0,116.85714285714286,44.043577678180014,1514.0,66.0,285.3333333333333,298.0211774727129,1514,66,215.9607843137255,244.78337448224352,59918.90042291427,420,600,20,12,2401880.38,10017619.0,10.0,4076550.0733005595,110078756.0,10018950.0,351.0,5503937.8,4551889.336770959,120092824.0,10017619.0,889.0,4141131.8620689656,4634201.761132582,0,0,0,0,1,0,0,0,0,0,0,1.4285714285714286,215.9607843137255,501,2045,10016833.0,796.0,6866515.25,4058655.717981378,10016763.0,39854.0,7492322.625,3710417.933297826,0.0,0.0,2624.0,4.0,0.0,40791.58051828937,116.85714285714286,285.3333333333333,0,21,30,2454,8560
192.168.3.6,192.168.3.66,1514,52056,6,2022-11-25 11:46:13,129518757.0,61.49688419261158,0.32427735544126635,0.11581334122902369,0.20846401421224264,15,27,2147,5818,155.0,66.0,143.13333333333333,30.25418244731719,368.0,66.0,215.4814814814815,148.379486046039,368,66,189.64285714285714,125.2281387496192,15682.08673469388,300,540,20,13,3158994.073170732,10019212.0,27.0,4529809.522299141,119500075.0,10020322.0,749.0,8535719.642857144,3054861.3385933526,129517807.0,10019212.0,1096.0,4981454.115384615,4826813.337039159,0,0,0,0,1,0,0,0,0,0,0,1.8,189.64285714285714,501,2045,10018353.0,950.0,8527773.42857143,3064422.4977119192,10018339.0,3289770.0,9243186.642857144,1956565.8124641906,0.0,0.0,0.0,0.0,0.0,0.0,143.13333333333333,215.4814814814815,0,15,27,2147,5818
192.168.3.6,192.168.3.66,1514,52056,6,2022-11-25 11:48:23,120226568.0,1329.972257047211,6.304762854080638,2.9527583287580828,3.352004525322556,355,403,51426,108472,372.0,66.0,144.8619718309859,76.27412085107794,1514.0,66.0,269.16129032258067,162.46592707203948,1514,66,210.9472295514512,143.544693421509,20605.079009475012,7100,8060,20,187,158819.77278731836,10015844.0,9.0,1094223.2581458767,111219574.0,10017523.0,221.0,314179.58757062146,1513662.7919466577,120225661.0,10015844.0,332.0,299068.8084577114,1488390.2522227953,0,0,0,0,1,0,0,0,0,0,0,1.1352112676056338,210.9472295514512,501,2091,10014983.0,907.0,527836.922705314,1948362.0474075272,10015031.0,5516.0,530347.1883408072,1965255.6982676666,0.0,0.0,2466.3636363636365,7.0,0.0,13917.85949169289,144.8619718309859,269.16129032258067,0,355,403,51426,108472
192.168.3.6,192.168.3.66,1514,52056,6,2022-11-25 11:50:23,120323108.0,64.40990536913324,0.35737108785454574,0.1412862440355181,0.21608484381902768,17,26,2190,5560,155.0,66.0,128.8235294117647,40.55241386028943,368.0,66.0,213.84615384615384,145.48689930650966,368,66,180.2325581395349,123.19295457227503,15176.504056246618,340,520,20,12,2864835.904761905,10018749.0,26.0,4392487.226376417,110307577.0,10020666.0,327.0,6894223.5625,4301222.540777301,120321365.0,10018749.0,1053.0,4812854.6,4800867.700772118,0,0,0,0,1,0,0,0,0,0,0,1.5294117647058822,180.2325581395349,501,2091,10017709.0,888.0,7865228.285714285,3655391.266576113,10017862.0,915733.0,8580435.214285715,2974512.5315949833,0.0,0.0,0.0,0.0,0.0,0.0,128.8235294117647,213.84615384615384,0,17,26,2190,5560
192.168.3.6,192.168.3.66,1514,52056,6,2022-11-25 11:52:23,129906195.0,141.60217686308187,0.6851097439964275,0.2925187670995983,0.3925909768968293,38,51,3665,14730,155.0,66.0,96.44736842105263,42.22290309424935,1514.0,66.0,288.8235294117647,292.7013271192107,1514,66,206.68539325842696,242.71394341069274,58910.05832596895,760,1020,20,13,1476206.7613636365,10018011.0,7.0,3362294.5052514765,119887460.0,10019362.0,333.0,3240201.621621622,4344986.682821624,129905440.0,10018011.0,863.0,2598108.8,4122142.2673395253,0,0,0,0,1,0,0,0,0,0,0,1.3421052631578947,206.68539325842696,501,2091,10016991.0,755.0,6301397.315789473,4175796.402018801,10017287.0,15259.0,6828581.578947368,3973257.7858021893,0.0,0.0,3490.0,11.0,0.0,64223.475612561306,96.44736842105263,288.8235294117647,0,38,51,3665,14730
192.168.3.6,192.168.3.66,1514,52056,6,2022-11-25 11:54:33,110256712.0,190.6641293638432,0.906974262029508,0.40813841791327865,0.49883584411622944,45,55,4038,16984,155.0,66.0,89.73333333333333,39.35728084555075,1514.0,66.0,308.8,313.2017879897879,1514,66,210.22,257.9284234046337,66527.0716,900,1100,20,12,1113704.1616161617,10017954.0,6.0,2933707.162001825,110181356.0,10019192.0,350.0,2504121.727272727,3986957.0405549,110255798.0,10017954.0,836.0,2041774.037037037,3726651.787210402,0,0,0,0,1,0,0,0,0,0,0,1.2222222222222223,210.22,501,2091,10017174.0,914.0,5788864.631578947,4216387.985954456,10017040.0,40474.0,5792734.52631579,4211100.170176452,0.0,0.0,3233.3333333333335,10.0,0.0,57318.78105998381,89.73333333333333,308.8,0,45,55,4038,16984
