src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
140.116.82.33,60.249.231.25,2223,62546,6,2023-04-09 14:39:28,120279849.0,456.60183693779,4.855343641144744,2.4442997097543744,2.4110439313903695,294,290,34396,20524,1342.0,66.0,116.99319727891157,86.08155416422515,798.0,66.0,70.77241379310345,53.656987824974536,1342,66,94.04109589041096,75.45949441540913,5694.135297429161,5880,5800,20,292,206311.91938250427,628015.0,9.0,200286.90429543584,120279849.0,737003.0,2408.0,410511.4300341297,165616.47779166,119709028.0,718480.0,9.0,414218.0899653979,179126.1638639502,0,0,0,0,1,0,0,0,0,0,0,0.9863945578231292,94.04109589041096,4705,16369,539069.0,11230.0,347244.9120879121,133766.50573967234,537386.0,8852.0,346398.88727272727,147516.1427119142,4997.333333333333,97.33333333333333,0.0,0.0,124.85148174233207,0.0,116.99319727891157,70.77241379310345,0,294,290,34396,20524
140.116.82.33,140.116.82.56,2223,50217,6,2023-04-09 14:39:28,119863363.0,946.1606712970333,9.627629086295535,4.755414713334883,4.872214372960651,570,584,59968,53442,506.0,54.0,105.20701754385965,26.47082379068674,1010.0,60.0,91.51027397260275,58.2498153673975,1010,54,98.27556325823224,45.93579622817063,2110.0973751160154,11400,11680,20,544,103957.8169991327,686407.0,9.0,163892.57511823627,119821055.0,728099.0,102.0,210581.81898066783,219917.57986116887,119856600.0,694684.0,9.0,205585.93481989708,191600.36527052024,0,0,0,0,1,0,0,0,0,0,0,1.024561403508772,98.27556325823224,10751,8195,683114.0,885.0,322645.70382165606,170586.90192424774,644715.0,5182.0,185285.72029250456,170464.15295916167,0.0,0.0,0.0,0.0,0.0,0.0,105.20701754385965,91.51027397260275,0,570,584,59968,53442
140.116.82.33,140.116.82.56,2223,49944,6,2023-04-09 14:39:28,42047.0,3567.436440174091,47.56581920232121,23.782909601160604,23.782909601160604,1,1,90,60,90.0,90.0,90.0,0.0,60.0,60.0,60.0,0.0,90,60,75.0,15.0,225.0,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,75.0,3832,8194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,60.0,0,1,1,90,60
185.122.204.50,140.116.82.33,57638,36400,6,2023-04-09 14:39:36,220192.0,790.2194448481325,13.624473187036768,9.08298212469118,4.54149106234559,2,1,120,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,58.0,2.8284271247461903,8.0,40,20,20,2,110096.0,220178.0,14.0,110082.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,58.0,1024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,54.0,0,2,1,120,54
140.116.82.33,140.116.82.56,2223,50014,6,2023-04-09 14:39:47,52405.0,2862.3222974906976,38.16429729987597,19.082148649937984,19.082148649937984,1,1,90,60,90.0,90.0,90.0,0.0,60.0,60.0,60.0,0.0,90,60,75.0,15.0,225.0,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,75.0,9019,8194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,60.0,0,1,1,90,60
103.153.254.110,140.116.82.33,35424,443,6,2023-04-09 14:39:59,12.0,9500000.0,166666.66666666666,83333.33333333333,83333.33333333333,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,65535,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,54.0,0,1,1,60,54
140.116.82.33,239.255.255.250,38922,1900,17,2023-04-09 14:40:09,3023047.0,284.48118735831764,1.3231683132945005,1.3231683132945005,0.0,4,0,860,0,215.0,215.0,215.0,0.0,0.0,0.0,0.0,0.0,215,215,215.0,0.0,0.0,32,0,8,4,1007682.3333333334,1008202.0,1006671.0,715.2120120790913,3023047.0,1008202.0,1006671.0000000001,1007682.3333333334,715.2120120790097,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,215.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,0.0,0,4,0,860,0
140.116.82.33,224.0.0.251,5353,5353,17,2023-04-09 14:40:09,0.0,0,0,0,0,1,0,235,0,235.0,235.0,235.0,0.0,0.0,0.0,0.0,0.0,235,235,235.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,235.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,0.0,0,1,0,235,0
45.12.147.2,140.116.82.33,47644,9000,6,2023-04-09 14:40:10,11.0,10363636.363636363,181818.18181818182,90909.09090909091,90909.09090909091,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,65535,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,54.0,0,1,1,60,54
168.80.174.2,140.116.82.33,45698,12999,6,2023-04-09 14:40:15,33.0,3454545.454545454,60606.0606060606,30303.0303030303,30303.0303030303,1,1,60,54,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,63540,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,54.0,0,1,1,60,54
